References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell
D1,1,SMA Diode,Bourns,SMAJ12A,,,,,,,,,SMAJ12ABCT-ND,652SMAJ12A,7673721P,67R1525,1899443
D2,1,SMB Diode,Littelfuse,SMBJ12A,,,,,,,,,SMBJ12ALFCT-ND,576SMBJ12A,7645574,72K7310,1827609
D3,1,SMC Diode,Vishay,SMCJ15CA-E3/57T,,,,,,,,,SMCJ15CA-E3/57TGICT-ND,625SMCJ15CAE3,5180741P,10R0752,1698885
D4,1,SOD-123 Diode,Diodes Inc.,SD101CW-7-F,Diodes Inc.,1N5711W-7-F,,,,,,,1N5711W-FDICT-ND,6211N5711WF,7512733,23T9766,1858640
D5,1,SOD-323 Diode,Diodes Inc.,S5GC-13-F,MULTICOMP,S5GC-13-F,,,,,,,S5GC-FDICT-ND,621S5GCF,7514828,12T1408,2306338
D6,1,SOD-523 Diode,Central Semiconductor,CMOZ1L8 TR,Bourns,CDSOD523-T05,Bourns,CDSOD523-T05C,Central Semiconductor,CMOZ22L TR,Nexperia,"BZX585-C2V7,115","BZX585-C2V7,115-ND",771BZX585C2V7115,,32AC6814,2777512
J1,1,USB micro B,Molex,47346-0001,,,,,,,,,WM17141CT-ND,538473460001,7025475,96M8533,1568026
LED2,1,led 0402 red,Lumex,SML-LX0402SIC-TR,Panasonic,LNJ247W82RA,Broadcom,HSMC-C280,,,,,516-3060-1-ND,630HSMCC280,8676548P,68Y1150,2494321
LED3,1,LED 0603 red,Everlight,19-217/R6C-AL1M2VY/3T,Broadcom,HSMH-C190,,,,,,,1080-1585-1-ND,630HSMHC190,7166570P,68Y1170,2497373
LED4,1,LED 0805 red,Dialight,597-3003-407F,Würth Elektronik,150080RS75000,,,,,,,350-2947-1-ND,710150080RS75000,419209,59M5865,1465992
LED5,1,LED 1206 red,Dialight,597-3111-402F,Würth Elektronik,156120RS75000,VCC,CMD15-21VRC/TR8,,,,,350-2880-ND,710156120RS75000,8154278P,93B3495,4600927
LED6,1,led red 0.6mm 0.3mm,Kingbright,APG0603SURC-TT,Kingbright,APG0603SEC-E-TT,,,,,,,754-2024-1-ND,604APG0603SURCTT,,,
R1,1,resistor 1k 0201,Vishay,CRCW02011K00FNED,,,,,,,,,541-1.00KABCT-ND,71CRCW02011K00FNED,6649799,89M6577,2282179
R2,1,1k 0402,Vishay,CRCW04021K00FKED,Yageo,RC0402JR-7W1KL,Susumu,RR0510P-102-D,,,,,541-1.00KLCT-ND,754RR0510P102D,6788872,24W1850,2132441
R3,1,1k 0603,Vishay,CRCW06031K00FKEA,Yageo,RC0603JR-7W1KL,,,,,,,541-1.00KHCT-ND,603RC0603JR7W1KL,6789875,,2132444
R4,1,1k 0805,Vishay,CRCW08051K00FKEA,,,,,,,,,541-1.00KCDKR-ND,603RC0805JR7W1KL,6790982,61M5425,2303550
R5,1,1k 1206,Vishay,CRCW12061K00FKEA,,,,,,,,,541-1.00KFDKR-ND,603RC1206JR7W1KL,6791844,61M5528,2307294
R6,1,1k 01005,Vishay Dale,CRCW01001K00FREL,Panasonic,ERJ-XGNF1001Y,,,,,,,541-4278-1-ND,71CRCW01001K00FREL,,05X8735,2355575
SW1,1,KMR2,C&K Components,KMR211NG LFS,C&K Components,KMR231NG LFS,,,,,,,CKN10246CT-ND,611KMR211NGLFS,1359376,50AC5257,2845733
SW2,1,EVQPE1,Panasonic,EVQ-PE104K,Panasonic,EVQPE104K,,,,,,,P13593SCT-ND,667EVQPE104K,1250220P,,2459522
SW3,1,B3U-1000P,Omron,B3U-1000P,Omron,B3U-1000P-B,,,,,,,SW1020CT-ND,653B3U1000P,419867,34M5296,1333654
SW4,1,FSMCT,TE Connectivity / Alcoswitch,FSMCT,TE Connectivity / Alcoswitch,FSMCTATR,TE Connectivity / Alcoswitch,FSMCTA,TE Connectivity,8-1437565-0,,,450-2133-1-ND,506FSMCTTR,1314775P,95Y0178,2610939
SW5,1,TL3315NF160Q,E-Switch,TL3315NF160Q,,,,,,,,,EG4621CT-ND,612TL3315NF160Q,,15N4507,2103642
SW6,1,FSM2JSM,TE Connectivity,FSM2JSMAATR,,,,,,,,,450-1792-1-ND,506FSM2JSMAATR,7182474,14H0922,2667807
SW7,1,JS202011SCQN,C&K Components,JS202011SCQN,,,,,,,,,401-2002-1-ND,611JS202011SCQN,1546137,,2320019
SW8,1,KSR223,C&K Components,KSR223G LFG,,,,,,,,,401-1704-1-ND,611KSR223GLFG,,95W3306,2320064
